QUEST_LV_0500_20190513_000001	如果必須有人去做這件事，我希望是別人。{nl}為什麼偏偏要讓我做這種事呢？	누군가는 해야 할 일이면 다른 사람이 했으면 좋겠어요.{nl}왜 저한태 이런 걸 시키는 걸까요.				케도라 상단원 이네타
QUEST_LV_0500_20220302_001440	可以的話，剛剛的事麻煩幫我保密。	괜찮다면 방금 있었던 일은 비밀로 해줘.
QUEST_LV_0500_20220302_001441	王國軍的士兵們一定對我寄予厚望。{nl}雖然以後要付出代價…{nl}但現在打贏這場戰爭是第一要務。	왕국군의 병사들이 내게 걸고 있는 기대가 클 거야.{nl}죗값은 나중에 치러야 겠지만..{nl}지금은 일단 이 전쟁에서 이기는 게 우선이야.
QUEST_LV_0500_20220302_001442	往上面的路走，有拉明大將軍帶領的本部據點。{nl}到那裡去吧。	윗길을 따라가면 라민 대장군이 이끄는 본대가 거점으로 삼은 곳이 있어.{nl}그곳으로 가자.
QUEST_LV_0500_20220302_001443	必須快點將敵人的防禦計畫與作戰計畫書交給王國軍。	서둘러 적들의 방어 계획과 작전 계획서를 왕국군에게 넘겨줘야 해.
QUEST_LV_0500_20220302_001444	拉民	라민
QUEST_LV_0500_20220302_001445	是帕亞烏塔啊。{nl}我指示的文件拿來了嗎？	파야우타로군.{nl}지시한 문서들은 가져왔겠지?
QUEST_LV_0500_20220302_001446	王國軍的大將軍拉明在戰場上是個嚴守紀律之人。{nl}他是個能力很強的戰士，也是許多士兵尊敬的英雄。	왕국군의 대장군인 라민은 전장에서만큼은 규율에 철저한 사람이야.{nl}유능한 전사이고 많은 병사가 존경하는 영웅과도 같아.
QUEST_LV_0500_20220302_001447	你就是帕亞烏塔所說的啟示者啊。{nl}我是王國的大將軍拉明。	네가 파야우타가 이야기한 계시자군.{nl}난 왕국의 대장군인 라민이라고 한다.
QUEST_LV_0500_20220302_001448	這裡是戰場，我是此處的負責人，你若是幫助王國軍之人，那就是我的屬下。	이곳은 전장이고 네가 왕국군을 돕는 사람이라면, 이곳의 책임자인 나의 부하라는 건 알아두도록.
QUEST_LV_0500_20220302_001449	我不能百分百相信你帶來的防禦計畫與作戰計畫書。{nl}我會先派人確認真假。{nl}此事就交給帕亞烏塔吧。	가져온 방어 계획과 작전 계획서를 곧이곧대로 믿을 수는 없다.{nl}병사에게 시켜 사실 여부를 판단하겠다.{nl}파야우타는 이 일을 돕도록.
QUEST_LV_0500_20220302_001450	我有其他任務要交給啟示者。{nl}前陣子我派了偵察兵探查敵人的動向，但他遲遲沒有回來。	계시자 네게는 다른 임무를 주겠다.{nl}한참 전에 적들의 동향을 살피러 정찰병을 내보냈으나 아직 돌아오지 않았다.
QUEST_LV_0500_20220302_001451	也許他已經得到了重要的情報，你去把他帶回來吧。	중요한 정보를 획득했을 수도 있으니 그 병사를 찾아 데려오도록.
QUEST_LV_0500_20220302_001452	萬一戰死了，將他的身上的東西帶回來也好。	만약 전사했다면 병사의 소지품이라도 가지고 와라.
QUEST_LV_0500_20220302_001453	行動吧。	움직이도록.
QUEST_LV_0500_20220302_001454	沿著被敵人切斷的補給路線走，應該能找到。	적들에게 차단된 보급로를 따라가면 찾을 수 있을 거다.
QUEST_LV_0500_20220302_001455	路上小心。	조심히 다녀와.
QUEST_LV_0500_20220302_001456	幸好來得及。{nl}辛苦你了。	다행히 늦지 않았군.{nl}수고했다.
QUEST_LV_0500_20220302_001457	我感覺偵查兵應該查到了什麼。{nl}你也一起聽吧。	아무래도 정찰병이 무언가를 알아낸 거 같다.{nl}자네도 함께 듣도록.
QUEST_LV_0500_20220302_001458	獲救的偵查兵	구출된 정찰병
QUEST_LV_0500_20220302_001459	報告！	보고드립니다!
QUEST_LV_0500_20220302_001460	在此地盤旋的奇特烏鴉又名{#003399}格列斯密{/}，跟剛才守在佃農村與莊園的雪貂是同一類的怪物。	이곳을 떠돌고 있는 기이한 까마귀인 일명 {#003399}그레스미{/}들은 앞선 소작촌과 장원을 지키던 페릿들과 같은 존재들입니다.
QUEST_LV_0500_20220302_001461	已經確認了將雪貂變成{#003399}格列斯密{/}的強悍魔族。	페릿들을 {#003399}그레스미{/}로 변형시키는 강력한 마족을 확인했습니다.
QUEST_LV_0500_20220302_001462	那個強悍的魔族肯定就是此地的頭領。	그 강력한 마족이 이 지역의 우두머리임이 확실하다.
QUEST_LV_0500_20220302_001463	我們的軍隊尚須重新整備。{nl}正好帕亞烏塔與啟示者在，可以試試看用最少的人力來解決。	우리 군은 아직 재정비가 필요하다.{nl}마침 파야우타와 계시자가 있으니 최소한의 인원으로 해결을 해보는 게 좋겠군.
QUEST_LV_0500_20220302_001464	帕亞烏塔、啟示者。{nl}你們和我組成機動隊，找出魔族。	파야우타, 계시자.{nl}너희는 나와 함께 별동대를 꾸려 그 마족을 찾아낸다.
QUEST_LV_0500_20220302_001465	啟示者。{nl}在組建機動隊期間，請你去收拾包圍我軍據點的魔族。	계시자.{nl}별동대를 꾸리는 동안 아군 거점을 포위하고 있는 마족들을 처리하도록.
QUEST_LV_0500_20220302_001466	組建機動隊期間，去收拾包圍我軍據點的魔族。	별동대를 꾸리는 동안 아군 거점을 포위한 마족들을 처리해라.
QUEST_LV_0500_20220302_001467	辛苦你了。{nl}這樣機動隊就能安全出發了。	수고했다.{nl}별동대가 안전히 출발할 수 있을 거다.
QUEST_LV_0500_20220302_001468	準備大抵完成了。{nl}前往中心地後，我們分頭尋找頭領。	준비는 거의 끝났다.{nl}중심지로 이동한 뒤 나뉘어 우두머리를 찾도록 한다.
QUEST_LV_0500_20220302_001469	啟示者打頭陣吧。	계시자가 앞장서도록.
QUEST_LV_0500_20220302_001470	我帶領機動隊跟著。	별동대를 이끌고 따라가겠다.
QUEST_LV_0500_20220302_001471	確實有效果。	확실히 효과가 있었군.
QUEST_LV_0500_20220302_001472	現在帶著所有還能戰鬥的士兵，前往內部。	이제 싸울 수 있는 병사들을 모두 이끌고 안쪽으로 진입한다.
QUEST_LV_0500_20220302_001473	現在要把分散的士兵們聚集起來。{nl}本部增員的時候，能成為極強的戰力。	흩어진 병사들을 규합해야 합니다.{nl}본대를 증원할 때 막강한 전력이 될 수 있습니다.
QUEST_LV_0500_20220302_001474	看見徘徊在此處的敵人了嗎？{nl}他們是隸屬歐勒夏的士兵、居民或商人。{nl}裡面也有許多人是神樹之日後往德慕爾避難的人。	이 곳을 배회하고 있는 적들의 모습을 보았나?{nl}오르샤에 소속되었던 병사이거나, 시민 혹은 상인들이 었다.{nl}신수의 날 이후 델무어로 피신한 피난민들도 다수 있었겠지.
QUEST_LV_0500_20220302_001475	然而他們擋住了我們王國軍的路，的的確確是我們的敵人。{nl}只不過士兵們的眼神充滿了猶豫。	그러나 저들이 우리 왕국군의 길을 막고 있으니 적이라는 사실은 명확하다.{nl}다만 병사들의 눈빛에 망설임이 만연하군.
QUEST_LV_0500_20220302_001476	若是就這樣開始戰鬥，大概來不及抵抗就全滅了。{nl}需要對士兵們進行鼓勵。	이대로 전투가 시작되면 제대로 싸워보지도 못하고 전멸당할 거다.{nl}병사들을 독려할 필요가 있다.
QUEST_LV_0500_20220302_001477	為了我軍的戰備，請收集變異士兵們棄置的補給品，重新整備吧。	아군의 전투를 준비하기 위해 변질된 병사들이 버려둔 보급품을 확보하고 재정비해라.
QUEST_LV_0500_20220302_001478	很好。{nl}趕緊行動吧。	좋다.{nl}서둘러 움직이도록.
QUEST_LV_0500_20220302_001479	確保變異士兵們棄置的補給品。	변질된 병사들이 버려둔 보급품을 확보해라.
QUEST_LV_0500_20220302_001480	準備好了嗎？{nl}這是歐勒夏的旗幟啊。{nl}	준비가 끝났나?{nl}이건 오르샤의 깃발이군.{nl}
QUEST_LV_0500_20220302_001481	不能再拖了。{nl}你也準備好了嗎？	시간을 더 지체할 수는 없다.{nl}자네도 준비가 끝났나?
QUEST_LV_0500_20220302_001482	很好。	좋다.
QUEST_LV_0500_20220302_001483	你去崗位上準備吧。{nl}將王國軍的旗幟與歐勒夏的旗幟一同升起。{nl}適當地建立他們仇恨的心理，在戰鬥上也能有挺大的效果。	자리로 가서 준비해라.{nl}왕국군의 깃발과 함께 오르샤의 깃발을 함께 세워라.{nl}적당한 복수심을 심어준다면 전투에 있어서도 큰 효과를 가져올 거다.
QUEST_LV_0500_20220302_001484	打得很好。{nl}雖然德慕爾外部偶爾會發現一些敵對的零散群體，但不至於對王國軍造成威脅。	잘 싸워주었다.{nl}델무어 외부에는 간간히 적대적인 무리들이 발견되긴 하지만, 왕국군에 큰 위협이 될 정도는 아니다.
QUEST_LV_0500_20220302_001485	已經把後方警戒與清除殘黨交給百夫長大師了。	센츄리온 마스터에게는 후방 경계와 잔당 처리를 맡겼다.
QUEST_LV_0500_20220302_001486	我聽到消息了。{nl}我會依循大將軍的命令，掃蕩後方區域的殘黨。	소식을 들었습니다.{nl}저는 대장군의 명령에 따라 후방 지역의 잔당을 소탕하겠습니다.
QUEST_LV_0500_20220302_001487	王國軍十分肯定你的活耀。	당신의 활약에 대해 왕국군은 높이 사고 있습니다.
QUEST_LV_0500_20220302_001488	戰爭還沒有結束。{nl}集合可以戰鬥的夥伴吧。	아직 전쟁이 끝난 건 아니다.{nl}싸울 수 있는 동료들을 모아라.
QUEST_LV_0500_20220302_001489	就定位。{nl}沒有時間再磨蹭了。	자리로 이동해라.{nl}뭉그적거릴 여유는 없다.
QUEST_LV_0500_20220302_001490	等等，我聽到了士兵們的尖叫聲。{nl}啟示者你也聽到了嗎？	잠깐, 병사들의 비명 소리가 들린다.{nl}계시자 너도 들었나?
QUEST_LV_0500_20220302_001491	歐勒夏的攻城裝備到了。{nl}為了讓攻城裝備越過路障，犧牲了很多王國軍。	오르샤의 공성장비가 도착했다.{nl}공성장비를 바리케이드 너머로 옮기는 데에만 많은 왕국군이 희생을 치렀다.
QUEST_LV_0500_20220302_001492	據說，受到女神啟示的啟示者們可以發揮出超越人類的力量。{nl}我從上次和你一起戰鬥的士兵們口中聽說的。	여신의 계시를 받은 계시자들은 인간의 한계를 넘어선 힘을 발휘한다고 하지.{nl}지난 전투에서 너와 함께 싸운 병사들 사이에서 네 이야기가 들리더군.
QUEST_LV_0500_20220302_001493	對他們來說，你是一位英雄。{nl}士兵們之所以在失去朋友及戰友且被孤立的情況下也沒有放棄，{nl}是因為你正在和他們一起戰鬥。	그들에게 너는 영웅이 되었다.{nl}친구이자 전우를 잃고 전장에 고립된 상황에서도 병사들이 포기하지 않은 건{nl}네가 병사들과 함께 싸워주고 있기 때문이었다.
QUEST_LV_0500_20220302_001494	士兵們賭上性命成功地將攻城裝備帶進戰場幫助你作戰。{nl}現在輪到你了。	병사들이 목숨을 걸고 너의 전투를 돕기위해 공성장비를 전장에 들여 놓는 데는 성공했다.{nl}이제 네 차례다.
QUEST_LV_0500_20220302_001495	去打開{#003399}城門{/}。	가서 {#003399}성문{/}을 열어라.
QUEST_LV_0500_20220302_001496	前往{#003399}激戰地{/}。	{#003399}격전지{/}로 진입한다.
QUEST_LV_0500_20220302_001497	前往{#003399}激戰地{/}。	{#003399}격전지{/}로 진입하도록.
QUEST_LV_0500_20220302_001498	多虧你，通往德慕爾內部的路打開了。{nl}卡歐尼拉公主肯定會大力讚賞你的功勞。	덕분에 델무어 내부로 가는 길이 열렸군.{nl}이 공로는 카오닐라 공주님께서 크게 치하하실 거다.
QUEST_LV_0500_20220302_001499	當然，我也認可是你的功勞。{nl}你做的非常好。	물론, 나 역시 네 공로를 인정하고 있다.{nl}잘 싸워주었다.
QUEST_LV_0500_20220302_001500	做好進入內部的準備後我再來找你。	내부로 들어갈 준비가 끝나면 다시 너를 찾겠다.
QUEST_LV_0500_20220302_001501	      {img GuideQuest_StartLine3_MiniMap_2 300 240}{nl}看似粗糙的海圖可以估計出歐勒夏和王國領莫洛斯官邸距離有多遠。	      {img GuideQuest_StartLine3_MiniMap_2 300 240}{nl}조잡해 보이는 해도는 오르샤와 왕국령 모로스 공관이 얼마나 멀리 떨어져 있는지 가늠하게 한다.
QUEST_LV_0500_20220302_001502	莫洛斯的啟示者(1)	모로스의 계시자(1)
QUEST_LV_0500_20220302_001503	請前往王國領莫洛斯官邸	왕국령 모로스 공관으로 진입하세요
QUEST_LV_0500_20220302_001504	[新手導覽]對話與互動	[튜토리얼] 대화와 상호작용
QUEST_LV_0500_20220302_001505	好像有問題。{nl}與等待檢查的難民們進行對話。	문제가 있는 것 같습니다.{nl}검사를 기다리고 있는 피난민들과 대화해봅시다.
QUEST_LV_0500_20220302_001506	與少女的幻影進行對話。	소녀의 환영과 대화해봅시다.
QUEST_LV_0500_20220302_001507	[新手導覽]配戴成長裝備	[튜토리얼] 성장 장비 착용
QUEST_LV_0500_20220302_001508	莫洛斯的啟示者(2)	모로스의 계시자(2)
QUEST_LV_0500_20220302_001509	莫洛斯的啟示者(3)	모로스의 계시자(3)
QUEST_LV_0500_20220302_001510	少女的幻影正在找你。	소녀의 환영이 당신을 찾고 있습니다.
QUEST_LV_0500_20220302_001511	[新手導覽]第一次轉職	[튜토리얼] 첫 번째 전직
QUEST_LV_0500_20220302_001512	我要轉職	전직해 보겠다고 한다
QUEST_LV_0500_20220302_001513	莫洛斯的啟示者(4)	모로스의 계시자(4)
QUEST_LV_0500_20220302_001514	太不負責任了	무책임하다고 한다
QUEST_LV_0500_20220302_001515	莫洛斯的啟示者(5)	모로스의 계시자(5)
QUEST_LV_0500_20220302_001516	我去找奧維尼亞狄爾班	오위니아 딜벤을 찾아가겠다고 한다
QUEST_LV_0500_20220302_001517	我沒有打算在這裡待太久	이곳에 오래 머무를 생각이 없다고 한다
QUEST_LV_0500_20220302_001518	莫洛斯的啟示者(6)	모로스의 계시자(6)
QUEST_LV_0500_20220302_001519	我去周圍晃晃再回來	잠시 둘러보고 오겠다고 한다
QUEST_LV_0500_20220302_001520	莫洛斯的啟示者(7)	모로스의 계시자(7)
QUEST_LV_0500_20220302_001521	我會走路過去	걸어가겠다고 한다
QUEST_LV_0500_20220302_001522	[新手導覽]使用任務道具	[튜토리얼] 퀘스트 아이템 사용
QUEST_LV_0500_20220302_001523	感覺很奇怪，我不想做	수상해서 하기 싫다고 한다
QUEST_LV_0500_20220302_001524	莫洛斯的啟示者(8)	모로스의 계시자(8)
QUEST_LV_0500_20220302_001525	我不想惹麻煩	문제를 일으키고 싶지 안핟고 한다
QUEST_LV_0500_20220302_001526	莫洛斯的啟示者(9)	모로스의 계시자(9)
QUEST_LV_0500_20220302_001527	[新手導覽]與BOSS怪物戰鬥	[튜토리얼] 보스 몬스터와의 전투
QUEST_LV_0500_20220302_001528	我會查出來的	알아내겠다고 한다
QUEST_LV_0500_20220302_001529	自己一個人很危險	혼자선 위험하다고 한다
QUEST_LV_0500_20220302_001530	莫洛斯的啟示者(10)	모로스의 계시자(10)
QUEST_LV_0500_20220302_001531	莫洛斯的啟示者(11)	모로스의 계시자(11)
